,Unit,PM Distance,TSO Distance,PM Duration,TSO TravelTimeSecs,%_Error (TSO as theorical value)
0,LUL144,1884.67,1727.47,"1 day, 17 hr, 13 min, 17 sec",1D:15H:9M:39S,9.100013314268846
1,QJX175,2299.16,2173.11,"2 days, 4 hr, 22 min, 1 sec",2D:2H:57M:33S,5.800442683527282
2,IBZ301,518.52,518.53,"16 hr, 52 min, 11 sec",13H:25M:12S,0.0019285287254336115
3,SXZ756,293.93,293.91,"8 hr, 16 min, 55 sec",8H:33M:22S,0.0068048041917531926
4,TDL796,576.82,576.58,"10 hr, 31 min, 31 sec",13H:43M:42S,0.04162475285303151
5,LQK053,185.1,158.33,"6 hr, 26 min, 34 sec",6H:36M:17S,16.907724373144685
6,LQK054,404.35,404.27,"17 hr, 57 min, 12 sec",19H:27M:52S,0.019788755039958673
7,NOY423,366.34,358.40,"11 hr, 44 min, 39 sec",11H:44M:26S,2.215401785714285
8,NOY424,373.33,373.14,"17 hr, 52 min, 11 sec",18H:24M:19S,0.05091922602776377
9,SMR391,167.47,167.34,"5 hr, 30 min, 32 sec",5H:36M:36S,0.07768614796222986
10,TDL795,408.13,407.89,"20 hr, 23 min, 22 sec",20H:36M:33S,0.05883939297359806
11,WFL149,676.67,676.54,"22 hr, 51 min, 11 sec",23H:1M:32S,0.01921541963520198
12,SMR198,724.99,764.13,"19 hr, 53 min, 44 sec",20H:12M:56S,5.1221650766230855
13,SXY625,394.03,440.86,"14 hr, 59 min, 42 sec",16H:42M:10S,10.622419815814553
14,TDL797,20.13,20.12,"44 min, 59 sec",0H:47M:51S,0.04970178926440363
